flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250129100944_a04,10:09:44,2025-01-29,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,538.782837,172.796494,0.679284,126.034164

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,375.617279,7001.205566
0.010000,497.289764,7001.205566
0.020000,526.765808,7001.205566
0.030000,534.312134,7001.205566
0.040000,536.716797,7001.205566
0.050000,537.702087,7001.205566
0.060000,538.160950,7001.205566
0.070000,538.442749,7001.205566
0.080000,538.583618,7001.205566
0.090000,538.694153,7001.205566
0.100000,538.777466,7001.205566
0.110000,538.772095,7001.205566
0.120000,538.782837,7001.205566
0.130000,538.771729,7001.205566
0.140000,538.742798,7001.205566
0.150000,538.704163,7001.205566
0.160000,538.669800,7001.205566
0.170000,538.591858,7001.205566
0.180000,538.566101,7001.205566
0.190000,538.494202,7001.205566
0.200000,538.439148,7001.205566
0.210000,538.314331,7001.205566
0.220000,538.237793,7001.205566
0.230000,538.124451,7001.205566
0.240000,538.042542,7001.205566
0.250000,537.901611,7001.205566
0.260000,537.792542,7001.205566
0.270000,537.683105,7001.205566
0.280000,537.542236,7001.205566
0.290000,537.426697,7001.205566
0.300000,537.325134,7001.205566
0.310000,537.144531,7001.205566
0.320000,536.991821,7001.205566
0.330000,536.848450,7001.205566
0.340000,536.709290,7001.205566
0.350000,536.563782,7001.205566
0.360000,536.411743,7001.205566
0.370000,536.263733,7001.205566
0.380000,536.131409,7001.205566
0.390000,535.982971,7001.205566
0.400000,535.841370,7001.205566
0.410000,535.674683,7001.205566
0.420000,535.508057,7001.205566
0.430000,535.342468,7001.205566
0.440000,535.200806,7001.205566
0.450000,535.019897,7001.205566
0.460000,534.852173,7001.205566
0.470000,534.684082,7001.205566
0.480000,534.534546,7001.205566
0.490000,534.369690,7001.205566
0.500000,534.243103,7001.205566
0.510000,534.041748,7001.205566
0.520000,533.873291,7001.205566
0.530000,533.731323,7001.205566
0.540000,533.566101,7001.205566
0.550000,533.403381,7001.205566
0.560000,533.226013,7001.205566
0.570000,533.080811,7001.205566
0.580000,532.919861,7001.205566
0.590000,532.744629,7001.205566
0.600000,532.631287,7001.205566
0.610000,532.450684,7001.205566
0.620000,532.271851,7001.205566
0.630000,532.070190,7001.205566
0.640000,531.917114,7001.205566
0.650000,531.779419,7001.205566
0.660000,531.621704,7001.205566
0.670000,531.458252,7001.205566
0.680000,531.289429,7001.205566
0.690000,531.129578,7001.205566
0.700000,530.994080,7001.205566
0.710000,530.805237,7001.205566
0.720000,530.645386,7001.205566
0.730000,530.493042,7001.205566
0.740000,530.345337,7001.205566
0.750000,530.169006,7001.205566
0.760000,529.992004,7001.205566
0.770000,529.862183,7001.205566
0.780000,529.684082,7001.205566
0.790000,529.532776,7001.205566
