flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250129084523_bb1,08:45:23,2025-01-29,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,582.958801,125.424026,0.784849,43.739971

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,315.279724,7001.205566
0.010000,469.309692,7001.205566
0.020000,532.533630,7001.205566
0.030000,557.132385,7001.205566
0.040000,566.505066,7001.205566
0.050000,570.571289,7001.205566
0.060000,572.675964,7001.205566
0.070000,573.944458,7001.205566
0.080000,574.848145,7001.205566
0.090000,575.546265,7001.205566
0.100000,576.188538,7001.205566
0.110000,576.644897,7001.205566
0.120000,577.062622,7001.205566
0.130000,577.435242,7001.205566
0.140000,577.781067,7001.205566
0.150000,578.114014,7001.205566
0.160000,578.376160,7001.205566
0.170000,578.617188,7001.205566
0.180000,578.888306,7001.205566
0.190000,579.102539,7001.205566
0.200000,579.333923,7001.205566
0.210000,579.516663,7001.205566
0.220000,579.699036,7001.205566
0.230000,579.887146,7001.205566
0.240000,580.052368,7001.205566
0.250000,580.211548,7001.205566
0.260000,580.357788,7001.205566
0.270000,580.495117,7001.205566
0.280000,580.658203,7001.205566
0.290000,580.793762,7001.205566
0.300000,580.957886,7001.205566
0.310000,581.023315,7001.205566
0.320000,581.146729,7001.205566
0.330000,581.248657,7001.205566
0.340000,581.346985,7001.205566
0.350000,581.451050,7001.205566
0.360000,581.556213,7001.205566
0.370000,581.657410,7001.205566
0.380000,581.762939,7001.205566
0.390000,581.840881,7001.205566
0.400000,581.959961,7001.205566
0.410000,582.020752,7001.205566
0.420000,582.091187,7001.205566
0.430000,582.173462,7001.205566
0.440000,582.231384,7001.205566
0.450000,582.268616,7001.205566
0.460000,582.350830,7001.205566
0.470000,582.381226,7001.205566
0.480000,582.445251,7001.205566
0.490000,582.500671,7001.205566
0.500000,582.592224,7001.205566
0.510000,582.593323,7001.205566
0.520000,582.626587,7001.205566
0.530000,582.680969,7001.205566
0.540000,582.724915,7001.205566
0.550000,582.748535,7001.205566
0.560000,582.783569,7001.205566
0.570000,582.812927,7001.205566
0.580000,582.828979,7001.205566
0.590000,582.850464,7001.205566
0.600000,582.909485,7001.205566
0.610000,582.900146,7001.205566
0.620000,582.911621,7001.205566
0.630000,582.932373,7001.205566
0.640000,582.922668,7001.205566
0.650000,582.935547,7001.205566
0.660000,582.948425,7001.205566
0.670000,582.932007,7001.205566
0.680000,582.953430,7001.205566
0.690000,582.933411,7001.205566
0.700000,582.958801,7001.205566
0.710000,582.921265,7001.205566
0.720000,582.918762,7001.205566
0.730000,582.928040,7001.205566
0.740000,582.901978,7001.205566
0.750000,582.933044,7001.205566
0.760000,582.893005,7001.205566
0.770000,582.890137,7001.205566
0.780000,582.890869,7001.205566
0.790000,582.841187,7001.205566
