flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250114102820_e10,10:28:20,2025-01-14,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,595.950745,133.486755,0.776010,83.984108

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,326.870453,7001.205566
0.010000,502.670990,7001.205566
0.020000,555.023438,7001.205566
0.030000,570.172546,7001.205566
0.040000,575.979004,7001.205566
0.050000,578.787476,7001.205566
0.060000,580.431824,7001.205566
0.070000,581.481445,7001.205566
0.080000,582.227844,7001.205566
0.090000,582.843323,7001.205566
0.100000,583.347229,7001.205566
0.110000,583.753479,7001.205566
0.120000,584.112549,7001.205566
0.130000,584.455139,7001.205566
0.140000,584.754456,7001.205566
0.150000,584.970459,7001.205566
0.160000,585.265503,7001.205566
0.170000,585.546997,7001.205566
0.180000,585.818787,7001.205566
0.190000,586.093079,7001.205566
0.200000,586.388489,7001.205566
0.210000,586.580872,7001.205566
0.220000,586.769348,7001.205566
0.230000,586.971375,7001.205566
0.240000,587.206360,7001.205566
0.250000,587.466736,7001.205566
0.260000,587.678772,7001.205566
0.270000,587.924866,7001.205566
0.280000,588.156250,7001.205566
0.290000,588.417297,7001.205566
0.300000,588.630798,7001.205566
0.310000,588.767029,7001.205566
0.320000,588.947632,7001.205566
0.330000,589.177612,7001.205566
0.340000,589.398621,7001.205566
0.350000,589.582092,7001.205566
0.360000,589.822083,7001.205566
0.370000,590.048096,7001.205566
0.380000,590.322754,7001.205566
0.390000,590.572388,7001.205566
0.400000,590.826660,7001.205566
0.410000,591.007568,7001.205566
0.420000,591.215393,7001.205566
0.430000,591.416016,7001.205566
0.440000,591.611267,7001.205566
0.450000,591.764709,7001.205566
0.460000,591.973206,7001.205566
0.470000,592.145935,7001.205566
0.480000,592.351929,7001.205566
0.490000,592.568970,7001.205566
0.500000,592.795349,7001.205566
0.510000,592.977783,7001.205566
0.520000,593.174072,7001.205566
0.530000,593.359009,7001.205566
0.540000,593.511719,7001.205566
0.550000,593.630066,7001.205566
0.560000,593.747375,7001.205566
0.570000,593.853943,7001.205566
0.580000,593.974121,7001.205566
0.590000,594.105347,7001.205566
0.600000,594.256653,7001.205566
0.610000,594.309937,7001.205566
0.620000,594.462280,7001.205566
0.630000,594.564941,7001.205566
0.640000,594.706543,7001.205566
0.650000,594.821350,7001.205566
0.660000,594.927185,7001.205566
0.670000,595.044495,7001.205566
0.680000,595.163574,7001.205566
0.690000,595.276611,7001.205566
0.700000,595.383545,7001.205566
0.710000,595.444336,7001.205566
0.720000,595.546631,7001.205566
0.730000,595.651367,7001.205566
0.740000,595.750122,7001.205566
0.750000,595.845947,7001.205566
0.760000,595.928223,7001.205566
0.770000,595.950745,7001.205566
0.780000,595.950745,7001.205566
0.790000,595.901367,7001.205566
