flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250227085909_a87,08:59:09,2025-02-27,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,547.397034,166.159637,0.696455,84.870621

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,348.589539,7001.205566
0.010000,488.157745,7001.205566
0.020000,527.731445,7001.205566
0.030000,538.901550,7001.205566
0.040000,542.682434,7001.205566
0.050000,544.136902,7001.205566
0.060000,544.719788,7001.205566
0.070000,545.004150,7001.205566
0.080000,545.185425,7001.205566
0.090000,545.385376,7001.205566
0.100000,545.573853,7001.205566
0.110000,545.732605,7001.205566
0.120000,545.901428,7001.205566
0.130000,546.085266,7001.205566
0.140000,546.264038,7001.205566
0.150000,546.416382,7001.205566
0.160000,546.559082,7001.205566
0.170000,546.671753,7001.205566
0.180000,546.805481,7001.205566
0.190000,546.897766,7001.205566
0.200000,547.017212,7001.205566
0.210000,547.044373,7001.205566
0.220000,547.105896,7001.205566
0.230000,547.183533,7001.205566
0.240000,547.209961,7001.205566
0.250000,547.252563,7001.205566
0.260000,547.300110,7001.205566
0.270000,547.319763,7001.205566
0.280000,547.337280,7001.205566
0.290000,547.362000,7001.205566
0.300000,547.397034,7001.205566
0.310000,547.367310,7001.205566
0.320000,547.348389,7001.205566
0.330000,547.335876,7001.205566
0.340000,547.322266,7001.205566
0.350000,547.278992,7001.205566
0.360000,547.276123,7001.205566
0.370000,547.223938,7001.205566
0.380000,547.206055,7001.205566
0.390000,547.139893,7001.205566
0.400000,547.125244,7001.205566
0.410000,547.036194,7001.205566
0.420000,546.984680,7001.205566
0.430000,546.937439,7001.205566
0.440000,546.869873,7001.205566
0.450000,546.815491,7001.205566
0.460000,546.736816,7001.205566
0.470000,546.676758,7001.205566
0.480000,546.608826,7001.205566
0.490000,546.515808,7001.205566
0.500000,546.462158,7001.205566
0.510000,546.357056,7001.205566
0.520000,546.274780,7001.205566
0.530000,546.193970,7001.205566
0.540000,546.105652,7001.205566
0.550000,546.031982,7001.205566
0.560000,545.896423,7001.205566
0.570000,545.824158,7001.205566
0.580000,545.740845,7001.205566
0.590000,545.658936,7001.205566
0.600000,545.573853,7001.205566
0.610000,545.464417,7001.205566
0.620000,545.323853,7001.205566
0.630000,545.215149,7001.205566
0.640000,545.129639,7001.205566
0.650000,545.000916,7001.205566
0.660000,544.888611,7001.205566
0.670000,544.763062,7001.205566
0.680000,544.666504,7001.205566
0.690000,544.546387,7001.205566
0.700000,544.478394,7001.205566
0.710000,544.314636,7001.205566
0.720000,544.179077,7001.205566
0.730000,544.108276,7001.205566
0.740000,543.956665,7001.205566
0.750000,543.840759,7001.205566
0.760000,543.734192,7001.205566
0.770000,543.584717,7001.205566
0.780000,543.480286,7001.205566
0.790000,543.317200,7001.205566
