flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250227083452_9a1,08:34:52,2025-02-27,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,549.788818,126.276611,0.770318,44.897038

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,327.951202,7001.205566
0.010000,479.036102,7001.205566
0.020000,519.973755,7001.205566
0.030000,532.141663,7001.205566
0.040000,536.738647,7001.205566
0.050000,538.970215,7001.205566
0.060000,540.308472,7001.205566
0.070000,541.192505,7001.205566
0.080000,541.859131,7001.205566
0.090000,542.399170,7001.205566
0.100000,542.870178,7001.205566
0.110000,543.225281,7001.205566
0.120000,543.581848,7001.205566
0.130000,543.886902,7001.205566
0.140000,544.171570,7001.205566
0.150000,544.439087,7001.205566
0.160000,544.674377,7001.205566
0.170000,544.901489,7001.205566
0.180000,545.113892,7001.205566
0.190000,545.322754,7001.205566
0.200000,545.567383,7001.205566
0.210000,545.706848,7001.205566
0.220000,545.893188,7001.205566
0.230000,546.051636,7001.205566
0.240000,546.220093,7001.205566
0.250000,546.373108,7001.205566
0.260000,546.521179,7001.205566
0.270000,546.653503,7001.205566
0.280000,546.793335,7001.205566
0.290000,546.902039,7001.205566
0.300000,547.049744,7001.205566
0.310000,547.148804,7001.205566
0.320000,547.289734,7001.205566
0.330000,547.381653,7001.205566
0.340000,547.479980,7001.205566
0.350000,547.583008,7001.205566
0.360000,547.683472,7001.205566
0.370000,547.790039,7001.205566
0.380000,547.874084,7001.205566
0.390000,547.979248,7001.205566
0.400000,548.094421,7001.205566
0.410000,548.170593,7001.205566
0.420000,548.266052,7001.205566
0.430000,548.341858,7001.205566
0.440000,548.423035,7001.205566
0.450000,548.527100,7001.205566
0.460000,548.589722,7001.205566
0.470000,548.661255,7001.205566
0.480000,548.735291,7001.205566
0.490000,548.797119,7001.205566
0.500000,548.874023,7001.205566
0.510000,548.928040,7001.205566
0.520000,548.984863,7001.205566
0.530000,549.058533,7001.205566
0.540000,549.114014,7001.205566
0.550000,549.167603,7001.205566
0.560000,549.208069,7001.205566
0.570000,549.276733,7001.205566
0.580000,549.316040,7001.205566
0.590000,549.351807,7001.205566
0.600000,549.439453,7001.205566
0.610000,549.457336,7001.205566
0.620000,549.500916,7001.205566
0.630000,549.537415,7001.205566
0.640000,549.564575,7001.205566
0.650000,549.612183,7001.205566
0.660000,549.636108,7001.205566
0.670000,549.664734,7001.205566
0.680000,549.678711,7001.205566
0.690000,549.692261,7001.205566
0.700000,549.751648,7001.205566
0.710000,549.734802,7001.205566
0.720000,549.756653,7001.205566
0.730000,549.767029,7001.205566
0.740000,549.788818,7001.205566
0.750000,549.783081,7001.205566
0.760000,549.784180,7001.205566
0.770000,549.788818,7001.205566
0.780000,549.774170,7001.205566
0.790000,549.759155,7001.205566
