   #  ,,
   #  Australian Bureau of Meteorology,,
   #  Australian Water Outlook,,
   #,,
   #  These products are subject to the Bureau's copyright and disclaimer policies.,,
   #  http://www.bom.gov.au/other/copyright.shtml,,
   #  http://www.bom.gov.au/other/disclaimer.shtml,,
   #,,
   #  Report Generated at Tue Apr 23 2024,,
   #,,
  ,,
Product: Historical,,
Root zone soil moisture  (percentile rank),,
Values: Relative,,
Time aggregation: Day ,,
Location: New South Wales,,
,,
Date,Root zone soil moisture  (percentile rank),Month
01/01/20,0,1
02/01/20,0,1
03/01/20,0,1
04/01/20,0,1
05/01/20,0,1
06/01/20,0,1
07/01/20,0,1
08/01/20,0,1
09/01/20,0,1
10/01/20,0,1
11/01/20,0,1
12/01/20,0,1
13/01/20,0,1
14/01/20,0,1
15/01/20,0,1
16/01/20,3,1
17/01/20,16,1
18/01/20,33,1
19/01/20,39,1
20/01/20,47,1
21/01/20,46,1
22/01/20,41,1
23/01/20,40,1
24/01/20,40,1
25/01/20,41,1
26/01/20,41,1
27/01/20,39,1
28/01/20,37,1
29/01/20,35,1
30/01/20,34,1
31/01/20,33,1
01/02/20,31,2
02/02/20,28,2
03/02/20,32,2
04/02/20,30,2
05/02/20,31,2
06/02/20,36,2
07/02/20,52,2
08/02/20,61,2
09/02/20,81,2
10/02/20,87,2
11/02/20,88,2
12/02/20,89,2
13/02/20,89,2
14/02/20,88,2
15/02/20,87,2
16/02/20,86,2
17/02/20,85,2
18/02/20,87,2
19/02/20,86,2
20/02/20,86,2
21/02/20,85,2
22/02/20,82,2
23/02/20,84,2
24/02/20,84,2
25/02/20,84,2
26/02/20,82,2
27/02/20,84,2
28/02/20,82,2
29/02/20,81,2
01/03/20,79,3
02/03/20,76,3
03/03/20,75,3
04/03/20,85,3
05/03/20,98,3
06/03/20,98,3
07/03/20,98,3
08/03/20,97,3
09/03/20,97,3
10/03/20,97,3
11/03/20,97,3
12/03/20,96,3
13/03/20,96,3
14/03/20,96,3
15/03/20,95,3
16/03/20,95,3
17/03/20,96,3
18/03/20,96,3
19/03/20,96,3
20/03/20,93,3
21/03/20,91,3
22/03/20,90,3
23/03/20,89,3
24/03/20,83,3
25/03/20,82,3
26/03/20,89,3
27/03/20,88,3
28/03/20,87,3
29/03/20,86,3
30/03/20,88,3
31/03/20,91,3
01/04/20,88,4
02/04/20,91,4
03/04/20,93,4
04/04/20,97,4
05/04/20,97,4
06/04/20,97,4
07/04/20,96,4
08/04/20,95,4
09/04/20,94,4
10/04/20,97,4
11/04/20,97,4
12/04/20,96,4
13/04/20,95,4
14/04/20,94,4
15/04/20,93,4
16/04/20,93,4
17/04/20,92,4
18/04/20,92,4
19/04/20,92,4
20/04/20,90,4
21/04/20,88,4
22/04/20,88,4
23/04/20,87,4
24/04/20,85,4
25/04/20,83,4
26/04/20,83,4
27/04/20,84,4
28/04/20,83,4
29/04/20,86,4
30/04/20,94,4
01/05/20,95,5
02/05/20,95,5
03/05/20,94,5
04/05/20,93,5
05/05/20,93,5
06/05/20,93,5
07/05/20,92,5
08/05/20,92,5
09/05/20,92,5
10/05/20,91,5
11/05/20,91,5
12/05/20,90,5
13/05/20,90,5
14/05/20,88,5
15/05/20,87,5
16/05/20,85,5
17/05/20,82,5
18/05/20,81,5
19/05/20,81,5
20/05/20,81,5
21/05/20,81,5
22/05/20,82,5
23/05/20,81,5
24/05/20,81,5
25/05/20,81,5
26/05/20,78,5
27/05/20,76,5
28/05/20,74,5
29/05/20,74,5
30/05/20,73,5
31/05/20,71,5
01/06/20,67,6
02/06/20,65,6
03/06/20,64,6
04/06/20,63,6
05/06/20,62,6
06/06/20,61,6
07/06/20,58,6
08/06/20,56,6
09/06/20,53,6
10/06/20,51,6
11/06/20,52,6
12/06/20,48,6
13/06/20,48,6
14/06/20,61,6
15/06/20,62,6
16/06/20,60,6
17/06/20,58,6
18/06/20,58,6
19/06/20,57,6
20/06/20,54,6
21/06/20,59,6
22/06/20,57,6
23/06/20,58,6
24/06/20,55,6
25/06/20,54,6
26/06/20,54,6
27/06/20,54,6
28/06/20,51,6
29/06/20,51,6
30/06/20,47,6
01/07/20,45,7
02/07/20,44,7
03/07/20,44,7
04/07/20,44,7
05/07/20,43,7
06/07/20,41,7
07/07/20,39,7
08/07/20,37,7
09/07/20,36,7
10/07/20,36,7
11/07/20,43,7
12/07/20,46,7
13/07/20,51,7
