"IID","COI_Scores_Inoc1","Drought_len","COI_Scores_Inoc2","Difference","Mat_Line","Drought_sev","block_num","block_cell1","block_cell2","Type","...9","ID","Porometer_15D","Porometer_30D","Day 30 Inoculation","Missing?","Archive if changed","Status","Inoculation date_1_3/2/25","Inoculation date_2_17/3/25","Inoculation date_3_3/3/25","Inoculated?"
369,2.5,30,0,-2.5,"NSW1079701","Moderate","158_he",57,"33",NA,NA,"369_701_M","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
378,2.5,30,0,-2.5,"NSW1078647","Low","9_an",30,"NA","Sample",NA,"378_647_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
417,2.5,30,17.5,15,"NSW1078647","High","16_as",31,"NA","Sample",NA,"417_647_H","N","N",NA,NA,"Used to be ""dead""",NA,"D30","D30_Inoc2",NA,"Y"
418,2.5,30,50,47.5,"NSW1078647","High","23_she",40,"NA","Sample",NA,"418_647_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
443,0.5,30,5,4.5,"NSW1079715","Moderate","160_slipping",61,"30",NA,NA,"443_715_M","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
471,15,30,7.5,-7.5,"NSW1079692","Moderate","8_he",5,"NA","Sample",NA,"471_692_M","N","N",NA,NA,NA,NA,"D30",NA,NA,"Y"
601,5,30,15,10,"NSW1079715","Low","18_I",29,"NA","Sample",NA,"601_715_L","Y","Y",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
697,0.5,30,0,-0.5,"NSW1078641","Moderate","11_novel",46,"NA","Sample",NA,"697_641_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
746,2.5,30,0,-2.5,"NSW1079714","High","158_he",57,"33",NA,NA,"746_714_H","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
371,3.75,30,5,1.25,"NSW1078656","High","162_realizes",53,"29",NA,NA,"371_656_H","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
2,1.25,30,1.25,0,"NSW1079717","Low","10_slipping",33,"NA","Sample",NA,"2_717_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
3,0.25,30,1.25,1,"NSW1079717","Low","6_away",2,"NA","Sample",NA,"3_717_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
4,1.25,30,0,-1.25,"NSW1079717","Low","8_he",5,"NA","Sample",NA,"4_717_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
21,1.25,30,1.25,0,"NSW1079717","Moderate","23_she",40,"NA","Sample",NA,"21_717_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
24,3.75,30,1.25,-2.5,"NSW1079717","Moderate","12_realizes",49,"NA","Sample",NA,"24_717_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
25,2.5,30,2.5,0,"NSW1079717","Moderate","9_an",30,"NA","Sample",NA,"25_717_M","Y","Y",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
27,1.25,30,1.25,0,"NSW1079717","Moderate","20_by",26,"NA","Sample",NA,"27_717_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
48,3.75,30,5,1.25,"NSW1079717","High","13_Mr.",47,"NA","Sample",NA,"48_717_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
49,2.5,30,0,-2.5,"NSW1079717","High","19_forces",37,"NA","Destructive",NA,"49_717_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
50,1.25,30,1.25,0,"NSW1079717","High","10_slipping",33,"NA","Destructive",NA,"50_717_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
68,1.25,30,1.25,0,"NSW1079717","Moderate","156_away",59,"27",NA,NA,"68_717_L","Y","Y",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
71,1.25,30,2.5,1.25,"NSW1079717","High","163_bird",52,"36",NA,NA,"71_717_M","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
76,1.25,30,22.5,21.25,"NSW1079714","Low","3_then",11,"NA","Sample",NA,"76_714_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
77,2.5,30,20,17.5,"NSW1079714","Low","2_Harry",16,"NA","Sample",NA,"77_714_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
80,1.25,30,1.25,0,"NSW1079714","Low","3_then",11,"NA","Sample",NA,"80_714_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
84,1.25,30,0,-1.25,"NSW1079714","Low","3_then",11,"NA","Destructive",NA,"84_714_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
87,2.5,30,30,27.5,"NSW1079714","Low","66_as",18,"3","Sample",NA,"87_714_L","N","N",NA,NA,"Used to be Drought len 60",NA,"D30","D30_Inoc2",NA,"Y"
97,1.25,30,1.25,0,"NSW1079714","Moderate","22_Mark",3,"NA","Sample",NA,"97_714_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
104,1.25,30,35,33.75,"NSW1079714","Moderate","4_has",32,"NA","Destructive",NA,"104_714_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
139,0.25,30,1.25,1,"NSW1079714","Low","153_then",63,"37",NA,NA,"139_714_L","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
150,0.25,30,2.5,2.25,"NSW1079714","High","163_bird",52,"36",NA,NA,"150_714_M","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
152,1.25,30,78.75,77.5,"NSW1079701","Low","10_slipping",33,"NA","Sample",NA,"152_701_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
195,1.25,30,2.5,1.25,"NSW1079701","High","20_by",26,"NA","Sample",NA,"195_701_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
200,2.5,30,30,27.5,"NSW1079701","High","6_away",2,"NA","Destructive",NA,"200_701_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
213,1.25,30,0,-1.25,"NSW1079717","Low","157_initially",54,"32",NA,NA,"213_717_L","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
226,1.25,30,37.5,36.25,"NSW1079677","Low","25_forced",23,"NA","Sample",NA,"226_677_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
308,1.25,30,0,-1.25,"NSW1078656","Low","13_Mr.",47,"NA","Sample",NA,"308_656_L","Y","Y",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
329,1.25,30,5,3.75,"NSW1078656","Moderate","15_of",34,"NA","Destructive",NA,"329_656_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
343,0.25,30,0,-0.25,"NSW1078656","High","3_then",11,"NA","Sample",NA,"343_656_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
