"IID","COI_Scores_Inoc1","Drought_len","COI_Scores_Inoc2","Difference","Mat_Line","Drought_sev","block_num","block_cell1","block_cell2","Type","...9","ID","Porometer_15D","Porometer_30D","Day 30 Inoculation","Missing?","Archive if changed","Status","Inoculation date_1_3/2/25","Inoculation date_2_17/3/25","Inoculation date_3_3/3/25","Inoculated?"
657,5,60,11.25,6.25,"NSW1079715","High","75_forced",27,"19","Sample",NA,"657_715_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
655,2.5,60,21.875,19.375,"NSW1079715","High","63_Mr.",4,"25","Sample",NA,"655_715_H","Y","N",NA,NA,NA,NA,NA,NA,"D60","Y"
434,7.5,60,40,32.5,"NSW1078647","High","71_money",1,"17","Destructive",NA,"434_647_H","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
162,37.5,60,56.25,18.75,"NSW1079701","Low","58_he",39,"13","Sample",NA,"162_701_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
206,3.75,60,40,36.25,"NSW1079701","High","66_as",18,"3","Sample",NA,"206_701_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
507,45,60,21.875,-23.125,"NSW1079692","High","66_as",18,"3","Sample",NA,"507_692_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
638,11.25,60,45,33.75,"NSW1079715","Moderate","72_Mark",38,"20","Sample",NA,"638_715_M","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
433,7.5,60,8.75,1.25,"NSW1078647","High","64_depicts",28,"4","Sample",NA,"433_647_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
744,18.75,60,43.75,25,"NSW1078641","Moderate","156_away",59,"27",NA,NA,"744_641_M","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
53,7.5,60,30,22.5,"NSW1079717","High","74_mainland",45,"23","Sample",NA,"53_717_H","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
263,3.75,60,35,31.25,"NSW1079677","Moderate","59_an",42,"18","Sample",NA,"263_677_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
209,11.25,60,7.5,-3.75,"NSW1079701","High","75_forced",27,"19","Destructive",NA,"209_701_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
334,7.5,60,0,-7.5,"NSW1078656","Moderate","51_the",50,"21","Sample",NA,"334_656_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
265,11.25,60,35,23.75,"NSW1079677","Moderate","57_initially",24,"1","Destructive",NA,"265_677_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
505,1.25,60,0,-1.25,"NSW1079692","High","69_forces",35,"15","Sample",NA,"505_692_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
14,1.25,60,0,-1.25,"NSW1079717","Low","67_before",20,"16","Sample",NA,"14_717_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
36,1.25,60,1.25,0,"NSW1079717","Moderate","75_forced",27,"19","Sample",NA,"36_717_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
40,1.25,60,1.25,0,"NSW1079717","Moderate","61_novel",15,"11","Destructive",NA,"40_717_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
54,1.25,60,1.25,0,"NSW1079717","High","68_I",22,"8","Sample",NA,"54_717_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
55,1.25,60,1.25,0,"NSW1079717","High","53_then",8,"24","Sample",NA,"55_717_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
65,1.25,60,1.25,0,"NSW1079715","Low","156_away",59,"27",NA,NA,"65_715_L","N","Y",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
90,1.25,60,1.25,0,"NSW1079714","Low","69_forces",35,"15","Sample",NA,"90_714_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
128,1.25,60,0,-1.25,"NSW1079714","High","62_realizes",44,"12","Sample",NA,"128_714_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
164,1.25,60,1.25,0,"NSW1079701","Low","59_an",42,"18","Sample",NA,"164_701_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
211,1.25,60,1.25,0,"NSW1079677","High","160_slipping",61,"30",NA,NA,"211_677_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
320,1.25,60,1.25,0,"NSW1078656","Low","54_has",6,"7","Destructive",NA,"320_656_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
356,1.25,60,0,-1.25,"NSW1078656","High","65_of",17,"9","Sample",NA,"356_656_H","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
462,1.25,60,2.5,1.25,"NSW1079692","Low","64_depicts",28,"4","Sample",NA,"462_692_L","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
539,1.25,60,0,-1.25,"NSW1078653","Low","73_she",10,"10","Sample",NA,"539_653_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
540,1.25,60,0,-1.25,"NSW1078653","Low","62_realizes",44,"12","Sample",NA,"540_653_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
558,1.25,60,0,-1.25,"NSW1078653","Moderate","64_depicts",28,"4","Sample",NA,"558_653_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
565,1.25,60,0,-1.25,"NSW1078653","Moderate","57_initially",24,"1","Destructive",NA,"565_653_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
577,1.25,60,1.25,0,"NSW1078653","High","67_before",20,"16","Sample",NA,"577_653_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
580,1.25,60,1.25,0,"NSW1078653","High","57_initially",24,"1","Sample",NA,"580_653_H","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
581,1.25,60,0,-1.25,"NSW1078653","High","59_an",42,"18","Sample",NA,"581_653_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
584,1.25,60,1.25,0,"NSW1078653","High","66_as",18,"3","Destructive",NA,"584_653_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
585,1.25,60,1.25,0,"NSW1078653","High","74_mainland",45,"23","Destructive",NA,"585_653_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
592,1.25,60,0,-1.25,"NSW1078653","Moderate","161_novel",62,"26",NA,NA,"592_653_M","Y","Y",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
599,1.25,60,1.25,0,"NSW1078653","High","159_an",56,"38",NA,NA,"599_653_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
616,1.25,60,1.25,0,"NSW1079715","Low","63_Mr.",4,"25","Sample",NA,"616_715_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
634,1.25,60,1.25,0,"NSW1079715","Moderate","65_of",17,"9","Sample",NA,"634_715_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
636,1.25,60,1.25,0,"NSW1079715","Moderate","51_the",50,"21","Sample",NA,"636_715_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
654,1.25,60,0,-1.25,"NSW1079715","High","66_as",18,"3","Sample",NA,"654_715_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
688,1.25,60,0,-1.25,"NSW1078641","Low","52_Harry",13,"14","Sample",NA,"688_641_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
695,1.25,60,1.25,0,"NSW1078641","Low","51_the",50,"21","Destructive",NA,"695_641_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
707,2.5,60,1.25,-1.25,"NSW1078641","Moderate","56_away",21,"2","Sample",NA,"707_641_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
711,1.25,60,1.25,0,"NSW1078641","Moderate","68_I",22,"8","Sample",NA,"711_641_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
728,1.25,60,0,-1.25,"NSW1078641","High","51_the",50,"21","Sample",NA,"728_641_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
732,1.25,60,40,38.75,"NSW1078641","High","58_he",39,"13","Sample",NA,"732_641_H","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
748,1.25,60,0,-1.25,"NSW1078641","High","162_realizes",53,"29",NA,NA,"748_641_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
749,1.25,60,0,-1.25,"NSW1078647","High","158_he",57,"33",NA,NA,"749_647_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
750,1.25,60,0,-1.25,"NSW1078641","High","153_then",63,"37",NA,NA,"750_641_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
1,1.25,60,1.25,0,"NSW1079717","Low","1_the",19,"NA","Sample",NA,"1_717_L","N","N",NA,NA,"Used to be Drought len30",NA,NA,NA,"D60","Y"
11,1.25,60,1.25,0,"NSW1079717","Low","51_the",50,"21","Sample",NA,"11_717_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
12,1.25,60,1.25,0,"NSW1079717","Low","56_away",21,"2","Sample",NA,"12_717_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
19,2.5,60,6.25,3.75,"NSW1079717","Low","67_before",20,"16","Destructive",NA,"19_717_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
34,1.25,60,5,3.75,"NSW1079717","Moderate","71_money",1,"17","Sample",NA,"34_717_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
93,1.25,60,5,3.75,"NSW1079714","Low","62_realizes",44,"12","Sample",NA,"93_714_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
145,1.25,60,1.25,0,"NSW1079714","Moderate","162_realizes",53,"29",NA,NA,"145_714_M","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
182,1.25,60,12.5,11.25,"NSW1079701","Moderate","67_before",20,"16","Sample",NA,"182_701_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
207,1.25,60,2.5,1.25,"NSW1079701","High","69_forces",35,"15","Sample",NA,"207_701_H","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
260,5,60,1.25,-3.75,"NSW1079677","Moderate","70_by",9,"6","Sample",NA,"260_677_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
394,1.25,60,1.25,0,"NSW1078647","Low","51_the",50,"21","Destructive",NA,"394_647_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
463,1.25,60,6.25,5,"NSW1079692","Low","58_he",39,"13","Sample",NA,"463_692_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
469,1.25,60,10,8.75,"NSW1079692","Low","54_has",6,"7","Destructive",NA,"469_692_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
483,1.25,60,1.25,0,"NSW1079692","Moderate","60_slipping",43,"22","Sample",NA,"483_692_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
509,1.25,60,15,13.75,"NSW1079692","High","54_has",6,"7","Destructive",NA,"509_692_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
519,1.25,60,0,-1.25,"NSW1079714","Moderate","151_the",55,"34",NA,NA,"519_714_M","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
541,1.25,60,2.5,1.25,"NSW1078653","Low","61_novel",15,"11","Sample",NA,"541_653_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
586,1.25,60,0,-1.25,"NSW1078656","High","151_the",55,"34",NA,NA,"586_656_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
639,1.25,60,41.25,40,"NSW1079715","Moderate","67_before",20,"16","Destructive",NA,"639_715_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
674,1.25,60,1.25,0,"NSW1079715","High","161_novel",62,"26",NA,NA,"674_715_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
129,2.5,60,6.25,3.75,"NSW1079714","High","64_depicts",28,"4","Sample",NA,"129_714_H","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
313,1.25,60,65.625,64.375,"NSW1078656","Low","64_depicts",28,"4","Sample",NA,"313_656_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
576,2.5,60,2.5,0,"NSW1078653","High","64_depicts",28,"4","Sample",NA,"576_653_H","N","N",NA,NA,NA,"Unhappy",NA,NA,"D60","Y"
501,1.25,60,0,-1.25,"NSW1079692","High","52_Harry",13,"14","Sample",NA,"501_692_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
20,1.25,60,1.25,0,"NSW1079717","Low","53_then",8,"24","Destructive",NA,"20_717_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
69,23.75,60,22.5,-1.25,"NSW1079717","Moderate","153_then",63,"37",NA,NA,"69_717_M","Y","Y",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
170,13.125,60,17.5,4.375,"NSW1079701","Low","55_paying",7,"5","Destructive",NA,"170_701_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
447,21.875,60,21.875,0,"NSW1078647","Moderate","155_paying",58,"31",NA,NA,"447_647_M","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
503,17.5,60,25,7.5,"NSW1079692","High","59_an",42,"18","Sample",NA,"503_692_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
430,21.875,60,18.75,-3.125,"NSW1078647","High","62_realizes",44,"12","Sample",NA,"430_647_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
432,17.5,60,52.5,35,"NSW1078647","High","59_an",42,"18","Sample",NA,"432_647_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
181,35,60,35,0,"NSW1079701","Moderate","56_away",21,"2","Sample",NA,"181_701_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
