Measuring Purpose,IID,Date,Height (mm),Weight (g),Notes
Historical update,595,31-Mar,465,,
Historical update,69,31-Mar,485,,
Historical update,219,31-Mar,495,,
Historical update,738,31-Mar,495,,
Historical update,62,31-Mar,500,,
Historical update,709,31-Mar,520,,
Historical update,599,31-Mar,525,,
Historical update,640,31-Mar,580,,
Historical update,638,31-Mar,585,,
Historical update,692,31-Mar,600,,
Historical update,736,31-Mar,605,,
Historical update,377,31-Mar,230,,
Historical update,401,31-Mar,295,,
Historical update,397,31-Mar,310,,
Historical update,719,31-Mar,330,,
Historical update,287,31-Mar,305,,
Historical update,82,31-Mar,425,,
Historical update,341,31-Mar,410,,
Historical update,326,31-Mar,180,,
Historical update,191,31-Mar,285,,
Historical update,441,31-Mar,375,,
Historical update,248,31-Mar,270,,
Historical update,160,31-Mar,370,,
Historical update,246,31-Mar,325,,
Historical update,601,31-Mar,450,,
